group,model,sampleid,repeat,score,score_raw,penalty_applied,timed_out,n_correct,n_total,n_tool_calls,result_file
T cell,base,imm_atlas_TT_p01_CD8-positive_alpha-b_vs_effector_memory_CD8-_r000_anon,11,1.0,1.0,False,False,4,4,7,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_CD8-positive_alpha-b_vs_effector_memory_CD8-_r000_anon,12,1.0,1.0,False,False,4,4,3,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_CD8-positive_alpha-b_vs_effector_memory_CD8-_r000_anon,13,1.0,1.0,False,False,4,4,3,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_CD8-positive_alpha-b_vs_effector_memory_CD8-_r000_anon,14,1.0,1.0,False,False,4,4,7,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_CD8-positive_alpha-b_vs_effector_memory_CD8-_r000_anon,15,1.0,1.0,False,False,4,4,6,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_CD4-positive_helper__vs_effector_memory_CD4-_r000_anon,0,0.0,0.0,False,False,0,4,9,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_CD4-positive_helper__vs_effector_memory_CD4-_r000_anon,1,0.0,0.0,False,False,0,4,10,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_CD4-positive_helper__vs_effector_memory_CD4-_r000_anon,2,0.0,0.0,False,False,0,4,10,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_CD4-positive_helper__vs_effector_memory_CD4-_r000_anon,3,0.0,0.0,False,False,0,4,10,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_CD4-positive_helper__vs_effector_memory_CD4-_r000_anon,4,0.5,0.5,False,False,2,4,4,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_CD4-positive_helper__vs_effector_memory_CD4-_r000_anon,5,0.0,0.0,False,False,0,4,7,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_CD4-positive_helper__vs_effector_memory_CD4-_r000_anon,6,0.0,0.0,False,False,0,4,9,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_CD4-positive_helper__vs_effector_memory_CD4-_r000_anon,7,0.0,0.0,False,False,0,4,4,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_CD4-positive_helper__vs_effector_memory_CD4-_r000_anon,8,1.0,1.0,False,False,4,4,10,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_CD4-positive_helper__vs_effector_memory_CD4-_r000_anon,9,0.5,0.5,False,False,2,4,10,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_CD4-positive_helper__vs_effector_memory_CD4-_r000_anon,10,0.5,0.5,False,False,2,4,5,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_CD4-positive_helper__vs_effector_memory_CD4-_r000_anon,11,0.0,0.0,False,False,0,4,7,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_CD4-positive_helper__vs_effector_memory_CD4-_r000_anon,12,0.0,0.0,False,False,0,4,3,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_CD4-positive_helper__vs_effector_memory_CD4-_r000_anon,13,0.0,0.0,False,False,0,4,7,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_CD4-positive_helper__vs_effector_memory_CD4-_r000_anon,14,0.0,0.0,False,False,0,4,9,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_CD4-positive_helper__vs_effector_memory_CD4-_r000_anon,15,0.0,0.0,False,False,0,4,5,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_gamma-delta_T_cell_vs_regulatory_T_cell_r000_anon,0,1.0,1.0,False,False,4,4,3,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_gamma-delta_T_cell_vs_regulatory_T_cell_r000_anon,1,1.0,1.0,False,False,4,4,4,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_gamma-delta_T_cell_vs_regulatory_T_cell_r000_anon,2,1.0,1.0,False,False,4,4,3,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_gamma-delta_T_cell_vs_regulatory_T_cell_r000_anon,3,1.0,1.0,False,False,4,4,4,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_gamma-delta_T_cell_vs_regulatory_T_cell_r000_anon,4,0.9608,1.0,True,False,4,4,11,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_gamma-delta_T_cell_vs_regulatory_T_cell_r000_anon,5,1.0,1.0,False,False,4,4,3,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_gamma-delta_T_cell_vs_regulatory_T_cell_r000_anon,6,1.0,1.0,False,False,4,4,2,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_gamma-delta_T_cell_vs_regulatory_T_cell_r000_anon,7,1.0,1.0,False,False,4,4,4,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_gamma-delta_T_cell_vs_regulatory_T_cell_r000_anon,8,1.0,1.0,False,False,4,4,5,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_gamma-delta_T_cell_vs_regulatory_T_cell_r000_anon,9,1.0,1.0,False,False,4,4,2,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_gamma-delta_T_cell_vs_regulatory_T_cell_r000_anon,10,1.0,1.0,False,False,4,4,6,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_gamma-delta_T_cell_vs_regulatory_T_cell_r000_anon,11,1.0,1.0,False,False,4,4,3,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_gamma-delta_T_cell_vs_regulatory_T_cell_r000_anon,12,1.0,1.0,False,False,4,4,9,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_gamma-delta_T_cell_vs_regulatory_T_cell_r000_anon,13,1.0,1.0,False,False,4,4,4,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_gamma-delta_T_cell_vs_regulatory_T_cell_r000_anon,14,1.0,1.0,False,False,4,4,3,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,base,imm_atlas_TT_p01_gamma-delta_T_cell_vs_regulatory_T_cell_r000_anon,15,1.0,1.0,False,False,4,4,4,experiments/unseen_eval_20260617/results/tcell/base_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_CD8-positive_alpha-b_vs_effector_memory_CD8-_r000_anon,0,1.0,1.0,False,False,4,4,4,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_CD8-positive_alpha-b_vs_effector_memory_CD8-_r000_anon,1,1.0,1.0,False,False,4,4,8,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_CD8-positive_alpha-b_vs_effector_memory_CD8-_r000_anon,2,1.0,1.0,False,False,4,4,5,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_CD8-positive_alpha-b_vs_effector_memory_CD8-_r000_anon,3,1.0,1.0,False,False,4,4,4,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_CD8-positive_alpha-b_vs_effector_memory_CD8-_r000_anon,4,1.0,1.0,False,False,4,4,10,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_CD8-positive_alpha-b_vs_effector_memory_CD8-_r000_anon,5,1.0,1.0,False,False,4,4,3,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_CD8-positive_alpha-b_vs_effector_memory_CD8-_r000_anon,6,1.0,1.0,False,False,4,4,4,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_CD8-positive_alpha-b_vs_effector_memory_CD8-_r000_anon,7,1.0,1.0,False,False,4,4,6,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_CD8-positive_alpha-b_vs_effector_memory_CD8-_r000_anon,8,1.0,1.0,False,False,4,4,10,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_CD8-positive_alpha-b_vs_effector_memory_CD8-_r000_anon,9,1.0,1.0,False,False,4,4,2,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_CD8-positive_alpha-b_vs_effector_memory_CD8-_r000_anon,10,1.0,1.0,False,False,4,4,2,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_CD8-positive_alpha-b_vs_effector_memory_CD8-_r000_anon,11,1.0,1.0,False,False,4,4,4,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_CD8-positive_alpha-b_vs_effector_memory_CD8-_r000_anon,12,1.0,1.0,False,False,4,4,4,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_CD8-positive_alpha-b_vs_effector_memory_CD8-_r000_anon,13,1.0,1.0,False,False,4,4,4,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_CD8-positive_alpha-b_vs_effector_memory_CD8-_r000_anon,14,1.0,1.0,False,False,4,4,3,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_CD8-positive_alpha-b_vs_effector_memory_CD8-_r000_anon,15,1.0,1.0,False,False,4,4,2,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_CD4-positive_helper__vs_effector_memory_CD4-_r000_anon,0,1.0,1.0,False,False,4,4,9,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_CD4-positive_helper__vs_effector_memory_CD4-_r000_anon,1,0.0,0.0,False,False,0,4,7,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_CD4-positive_helper__vs_effector_memory_CD4-_r000_anon,2,0.0,0.0,False,False,0,4,7,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_CD4-positive_helper__vs_effector_memory_CD4-_r000_anon,3,0.0,0.0,False,False,0,4,4,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_CD4-positive_helper__vs_effector_memory_CD4-_r000_anon,4,0.0,0.0,False,False,0,4,10,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_CD4-positive_helper__vs_effector_memory_CD4-_r000_anon,5,0.0,0.0,False,False,0,4,5,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_CD4-positive_helper__vs_effector_memory_CD4-_r000_anon,6,0.5,0.5,False,False,2,4,5,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_CD4-positive_helper__vs_effector_memory_CD4-_r000_anon,7,0.0,0.0,False,False,0,4,4,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_CD4-positive_helper__vs_effector_memory_CD4-_r000_anon,8,0.0,0.0,False,False,0,4,9,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_CD4-positive_helper__vs_effector_memory_CD4-_r000_anon,9,0.0,0.0,False,False,0,4,4,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_CD4-positive_helper__vs_effector_memory_CD4-_r000_anon,10,0.0,0.0,False,False,0,4,8,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_CD4-positive_helper__vs_effector_memory_CD4-_r000_anon,11,0.5,0.5,False,False,2,4,4,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_CD4-positive_helper__vs_effector_memory_CD4-_r000_anon,12,0.5,0.5,False,False,2,4,8,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_CD4-positive_helper__vs_effector_memory_CD4-_r000_anon,13,0.5,0.5,False,False,2,4,5,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_CD4-positive_helper__vs_effector_memory_CD4-_r000_anon,14,0.0,0.0,False,False,0,4,8,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_CD4-positive_helper__vs_effector_memory_CD4-_r000_anon,15,0.0,0.0,False,True,0,4,0,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_gamma-delta_T_cell_vs_regulatory_T_cell_r000_anon,0,1.0,1.0,False,False,4,4,2,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_gamma-delta_T_cell_vs_regulatory_T_cell_r000_anon,1,1.0,1.0,False,False,4,4,2,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_gamma-delta_T_cell_vs_regulatory_T_cell_r000_anon,2,1.0,1.0,False,False,4,4,3,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_gamma-delta_T_cell_vs_regulatory_T_cell_r000_anon,3,1.0,1.0,False,False,4,4,3,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_gamma-delta_T_cell_vs_regulatory_T_cell_r000_anon,4,1.0,1.0,False,False,4,4,4,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_gamma-delta_T_cell_vs_regulatory_T_cell_r000_anon,5,1.0,1.0,False,False,4,4,6,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_gamma-delta_T_cell_vs_regulatory_T_cell_r000_anon,6,1.0,1.0,False,False,4,4,2,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_gamma-delta_T_cell_vs_regulatory_T_cell_r000_anon,7,1.0,1.0,False,False,4,4,6,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_gamma-delta_T_cell_vs_regulatory_T_cell_r000_anon,8,1.0,1.0,False,False,4,4,10,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_gamma-delta_T_cell_vs_regulatory_T_cell_r000_anon,9,1.0,1.0,False,False,4,4,3,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_gamma-delta_T_cell_vs_regulatory_T_cell_r000_anon,10,1.0,1.0,False,False,4,4,1,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_gamma-delta_T_cell_vs_regulatory_T_cell_r000_anon,11,1.0,1.0,False,False,4,4,4,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_gamma-delta_T_cell_vs_regulatory_T_cell_r000_anon,12,1.0,1.0,False,False,4,4,2,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_gamma-delta_T_cell_vs_regulatory_T_cell_r000_anon,13,1.0,1.0,False,False,4,4,5,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_gamma-delta_T_cell_vs_regulatory_T_cell_r000_anon,14,1.0,1.0,False,False,4,4,3,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
T cell,step9,imm_atlas_TT_p01_gamma-delta_T_cell_vs_regulatory_T_cell_r000_anon,15,1.0,1.0,False,False,4,4,3,experiments/unseen_eval_20260617/results/tcell/step9_unseen_r16.jsonl
B cell,base,imm_atlas_BB_p01_c15c27_cell_r001_anon,0,0.0,0.0,False,False,0,4,6,experiments/unseen_eval_20260617/results/bcell/base_bcell_r16.jsonl
B cell,base,imm_atlas_BB_p01_c15c27_cell_r001_anon,1,0.0,0.0,False,False,0,4,13,experiments/unseen_eval_20260617/results/bcell/base_bcell_r16.jsonl
B cell,base,imm_atlas_BB_p01_c15c27_cell_r001_anon,2,0.0,0.0,False,False,0,4,4,experiments/unseen_eval_20260617/results/bcell/base_bcell_r16.jsonl
B cell,base,imm_atlas_BB_p01_c15c27_cell_r001_anon,3,0.0,0.0,False,False,0,4,5,experiments/unseen_eval_20260617/results/bcell/base_bcell_r16.jsonl
B cell,base,imm_atlas_BB_p01_c15c27_cell_r001_anon,4,0.0,0.0,False,False,0,4,4,experiments/unseen_eval_20260617/results/bcell/base_bcell_r16.jsonl
B cell,base,imm_atlas_BB_p01_c15c27_cell_r001_anon,5,0.0,0.0,False,False,0,4,10,experiments/unseen_eval_20260617/results/bcell/base_bcell_r16.jsonl
B cell,base,imm_atlas_BB_p01_c15c27_cell_r001_anon,6,0.0,0.0,False,False,0,4,4,experiments/unseen_eval_20260617/results/bcell/base_bcell_r16.jsonl
B cell,base,imm_atlas_BB_p01_c15c27_cell_r001_anon,7,0.0,0.0,False,False,0,4,3,experiments/unseen_eval_20260617/results/bcell/base_bcell_r16.jsonl
B cell,base,imm_atlas_BB_p01_c15c27_cell_r001_anon,8,0.0,0.0,False,False,0,4,7,experiments/unseen_eval_20260617/results/bcell/base_bcell_r16.jsonl
B cell,base,imm_atlas_BB_p01_c15c27_cell_r001_anon,9,0.0,0.0,False,False,0,4,6,experiments/unseen_eval_20260617/results/bcell/base_bcell_r16.jsonl
B cell,base,imm_atlas_BB_p01_c15c27_cell_r001_anon,10,0.0,0.0,False,False,0,4,6,experiments/unseen_eval_20260617/results/bcell/base_bcell_r16.jsonl
B cell,base,imm_atlas_BB_p01_c15c27_cell_r001_anon,11,0.5,0.5,False,False,2,4,3,experiments/unseen_eval_20260617/results/bcell/base_bcell_r16.jsonl
B cell,base,imm_atlas_BB_p01_c15c27_cell_r001_anon,12,0.0,0.0,False,False,0,4,6,experiments/unseen_eval_20260617/results/bcell/base_bcell_r16.jsonl
B cell,base,imm_atlas_BB_p01_c15c27_cell_r001_anon,13,0.0,0.0,False,False,0,4,6,experiments/unseen_eval_20260617/results/bcell/base_bcell_r16.jsonl
B cell,base,imm_atlas_BB_p01_c15c27_cell_r001_anon,14,0.0,0.0,False,False,0,4,6,experiments/unseen_eval_20260617/results/bcell/base_bcell_r16.jsonl
B cell,base,imm_atlas_BB_p01_c15c27_cell_r001_anon,15,0.5,0.5,False,False,2,4,3,experiments/unseen_eval_20260617/results/bcell/base_bcell_r16.jsonl
B cell,base,imm_atlas_BB_p01_c24c48_cell_r001_anon,0,1.0,1.0,False,False,4,4,3,experiments/unseen_eval_20260617/results/bcell/base_bcell_r16.jsonl
B cell,base,imm_atlas_BB_p01_c24c48_cell_r001_anon,1,0.0,0.0,False,False,0,4,9,experiments/unseen_eval_20260617/results/bcell/base_bcell_r16.jsonl
B cell,base,imm_atlas_BB_p01_c24c48_cell_r001_anon,2,1.0,1.0,False,False,4,4,3,experiments/unseen_eval_20260617/results/bcell/base_bcell_r16.jsonl
B cell,base,imm_atlas_BB_p01_c24c48_cell_r001_anon,3,1.0,1.0,False,False,4,4,1,experiments/unseen_eval_20260617/results/bcell/base_bcell_r16.jsonl
B cell,base,imm_atlas_BB_p01_c24c48_cell_r001_anon,4,1.0,1.0,False,False,4,4,4,experiments/unseen_eval_20260617/results/bcell/base_bcell_r16.jsonl
B cell,base,imm_atlas_BB_p01_c24c48_cell_r001_anon,5,0.0,0.0,False,False,0,4,6,experiments/unseen_eval_20260617/results/bcell/base_bcell_r16.jsonl
B cell,base,imm_atlas_BB_p01_c24c48_cell_r001_anon,6,0.0,0.0,False,False,0,4,5,experiments/unseen_eval_20260617/results/bcell/base_bcell_r16.jsonl
B cell,base,imm_atlas_BB_p01_c24c48_cell_r001_anon,7,1.0,1.0,False,False,4,4,5,experiments/unseen_eval_20260617/results/bcell/base_bcell_r16.jsonl
B cell,base,imm_atlas_BB_p01_c24c48_cell_r001_anon,8,1.0,1.0,False,False,4,4,4,experiments/unseen_eval_20260617/results/bcell/base_bcell_r16.jsonl
B cell,base,imm_atlas_BB_p01_c24c48_cell_r001_anon,9,0.0,0.0,False,False,0,4,5,experiments/unseen_eval_20260617/results/bcell/base_bcell_r16.jsonl
B cell,base,imm_atlas_BB_p01_c24c48_cell_r001_anon,10,0.0,0.0,False,False,0,4,4,experiments/unseen_eval_20260617/results/bcell/base_bcell_r16.jsonl
B cell,base,imm_atlas_BB_p01_c24c48_cell_r001_anon,11,1.0,1.0,False,False,4,4,3,experiments/unseen_eval_20260617/results/bcell/base_bcell_r16.jsonl
B cell,base,imm_atlas_BB_p01_c24c48_cell_r001_anon,12,1.0,1.0,False,False,4,4,2,experiments/unseen_eval_20260617/results/bcell/base_bcell_r16.jsonl
B cell,base,imm_atlas_BB_p01_c24c48_cell_r001_anon,13,1.0,1.0,False,False,4,4,3,experiments/unseen_eval_20260617/results/bcell/base_bcell_r16.jsonl
B cell,base,imm_atlas_BB_p01_c24c48_cell_r001_anon,14,1.0,1.0,False,False,4,4,1,experiments/unseen_eval_20260617/results/bcell/base_bcell_r16.jsonl
B cell,base,imm_atlas_BB_p01_c24c48_cell_r001_anon,15,1.0,1.0,False,False,4,4,2,experiments/unseen_eval_20260617/results/bcell/base_bcell_r16.jsonl
B cell,step9,imm_atlas_BB_p01_c15c27_cell_r001_anon,0,0.0,0.0,False,False,0,4,5,experiments/unseen_eval_20260617/results/bcell/step9_bcell_r16.jsonl
B cell,step9,imm_atlas_BB_p01_c15c27_cell_r001_anon,1,1.0,1.0,False,False,4,4,4,experiments/unseen_eval_20260617/results/bcell/step9_bcell_r16.jsonl
B cell,step9,imm_atlas_BB_p01_c15c27_cell_r001_anon,2,0.0,0.0,False,False,0,4,5,experiments/unseen_eval_20260617/results/bcell/step9_bcell_r16.jsonl
B cell,step9,imm_atlas_BB_p01_c15c27_cell_r001_anon,3,0.0,0.0,False,False,0,4,7,experiments/unseen_eval_20260617/results/bcell/step9_bcell_r16.jsonl
B cell,step9,imm_atlas_BB_p01_c15c27_cell_r001_anon,4,0.0,0.0,False,False,0,4,5,experiments/unseen_eval_20260617/results/bcell/step9_bcell_r16.jsonl
B cell,step9,imm_atlas_BB_p01_c15c27_cell_r001_anon,5,1.0,1.0,False,False,4,4,7,experiments/unseen_eval_20260617/results/bcell/step9_bcell_r16.jsonl
B cell,step9,imm_atlas_BB_p01_c15c27_cell_r001_anon,6,1.0,1.0,False,False,4,4,4,experiments/unseen_eval_20260617/results/bcell/step9_bcell_r16.jsonl
B cell,step9,imm_atlas_BB_p01_c15c27_cell_r001_anon,7,0.5,0.5,False,False,2,4,2,experiments/unseen_eval_20260617/results/bcell/step9_bcell_r16.jsonl
B cell,step9,imm_atlas_BB_p01_c15c27_cell_r001_anon,8,0.0,0.0,False,False,0,4,4,experiments/unseen_eval_20260617/results/bcell/step9_bcell_r16.jsonl
